"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 21 16:15:02 CST 2022","Wed Sep 21 16:15:02 CST 2022","1","test_pytest","test_api_all","","","","test_api_all[data1]",""
"broken","Wed Sep 21 17:52:26 CST 2022","Wed Sep 21 17:52:26 CST 2022","10","test_pytest","test_api_all","","","","测试标题",""
